no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
55,TXS 0329+654,53.48641,65.61561,2-SIDE EXTENDED,1,COMPACT,
56,NRAO 140,54.12545,32.30815,COMPACT,0,,
57,CTA 26,54.87891,-1.77661,COMPACT,0,,
58,OE -280,57.49094,-21.04659,COMPACT,0,,
59,S5 0346+80,58.69219,80.15801,COMPACT,0,,
60,CTD 026,60.77328,26.00042,COMPACT,0,,
61,PKS 0420-01,65.81584,-1.34252,COMPACT,0,,
62,4C +41.11,65.98337,41.83409,COMPACT,0,,
63,PKS 0422+00,66.19518,0.60176,COMPACT,0,,
64,NRAO 190,70.6611,-0.2954,COMPACT,0,,EP02
65,PKS 0446+11,72.28196,11.35794,COMPACT,0,,
66,OF -285,73.31101,-28.12702,COMPACT,0,,
67,S3 0458-02,75.30337,-1.98729,COMPACT,0,,
68,PKS 0502+049,76.3466,4.9952,COMPACT,0,,
69,S5 0454+84,77.17651,84.5346,COMPACT,0,,
70,TXS 0506+056,77.35818,5.69315,2-SIDE EXTENDED,1,COMPACT,
71,PKS 0507+17,77.50987,18.01155,COMPACT,0,,
72,RGB J0521+212,80.44154,21.21427,COMPACT,0,,
73,PKS 0519+01,80.57278,1.22533,COMPACT,0,,
74,PKS 0528+134,82.73507,13.53199,COMPACT,0,,
75,OG 050,83.16249,7.54537,COMPACT,0,,
76,TXS 0529+483,83.31611,48.38134,COMPACT,0,,
77,TXS 0536+145,84.92652,14.56266,COMPACT,0,,
78,PKS 0539-057,85.40868,-5.69706,COMPACT,0,,
79,DA 193,88.87836,39.81366,COMPACT_D,0,,
80,TXS 0603+476,91.8469,47.66304,COMPACT,0,,
81,PMN J0608-1520,92.00638,-15.3436,COMPACT,0,,
82,PKS 0607-15,92.42062,-15.7113,COMPACT,0,,
83,B3 0609+413,93.21327,41.37706,COMPACT,0,,
84,B2 0619+33,95.71759,33.43622,COMPACT,0,,
85,GB6 J0625+4440,96.3261,44.66712,COMPACT,0,,
86,PKS 0627-199,97.34901,-19.98881,COMPACT,0,,EP01
87,S4 0636+68,100.51774,67.97656,COMPACT,0,,
88,OH 471,101.63344,44.85461,COMPACT,0,,
89,GB6 J0654+5042,103.59205,50.70663,COMPACT,0,,
90,B3 0650+453,103.59881,45.23987,COMPACT,0,,
91,TXS 0700-197,105.67875,-19.85612,COMPACT,0,,
